,Unnamed: 0,year,month,day,hour,Blue_pca_1,Blue_pca_2,Green_pca_1,Green_pca_2,Red_pca_1,Red_pca_2
59,59,5,1,3,11,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,1.4887180030398461e-15
60,60,5,1,3,12,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,1.4887180030398461e-15
61,61,5,1,3,13,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,1.4887180030398461e-15
62,62,5,1,3,14,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,1.4887180030398461e-15
63,63,5,1,3,15,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,1.4887180030398461e-15
64,64,5,1,3,16,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,1.4887180030398461e-15
65,65,5,1,3,17,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,1.4887180030398461e-15
66,66,5,1,3,18,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,1.4887180030398461e-15
67,67,5,1,3,19,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,1.4887180030398461e-15
68,68,5,1,3,20,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,1.4887180030398461e-15
69,69,5,1,3,21,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,1.4887180030398461e-15
70,70,5,1,3,22,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,1.4887180030398461e-15
71,71,5,1,3,23,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,1.4887180030398461e-15
72,72,5,1,4,0,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,1.4887180030398461e-15
73,73,5,1,4,1,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,1.4887180030398461e-15
74,74,5,1,4,2,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,1.4887180030398461e-15
75,75,5,1,4,3,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,1.4887180030398461e-15
76,76,5,1,4,4,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,1.4887180030398461e-15
77,77,5,1,4,5,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,1.4887180030398461e-15
78,78,5,1,4,6,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,1.4887180030398461e-15
79,79,5,1,4,7,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,1.4887180030398461e-15
80,80,5,1,4,8,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,1.4887180030398461e-15
81,81,5,1,4,9,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,1.4887180030398461e-15
82,82,5,1,4,10,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,1.4887180030398461e-15
83,83,5,1,4,11,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,1.4887180030398461e-15
84,84,5,1,4,12,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,1.4887180030398461e-15
85,85,5,1,4,13,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,1.4887180030398461e-15
